Memory Length;500;;;;;Memory Length;500;;;
Trigger Level;600mV  ;;;;;Trigger Level;600mV  ;;;
Source;CH2;;;;;Source;CH2;;;
Vertical Position;-38;;;;;Vertical Position;-38;;;
Vertical Offset;0;;;;;Vertical Offset;0;;;
Time Base;2.5ms;;;;;Time Base;2.5ms;;;
Volts;2V;;;;;Volts;2V;;;
Probe;X 1;;;;;Probe;X 1;;;
Coupling;DC;;;;;Coupling;DC;;;
Horizontal View;Main;;;;;Horizontal View;Main;;;
Waveform Last Dot Address;500;;;;;Waveform Last Dot Address;500;;;
Horizontal;15.80ms ;;;;;Horizontal;15.80ms ;;;
Time;17-Apr-26 10:37;;;;;Time;17-Apr-26 10:37;;;
Sampling Period;100.000us;;;;;Sampling Period;100.000us;;;
Sampling Mode;Equivalent Time;;;;;Sampling Mode;Equivalent Time;;;
Waveform Data;;;;;;Waveform Data;;;;
3;;;;;;3;;;4,8;0,0296
55;;;;;;55;;;88;0,0297
3;;;;;;3;;;4,8;0,0298
55;;;;;;55;;;88;0,0299
55;;;;;;55;;;88;0,03
4;;;;;;4;;;6,4;0,0301
56;;;;;;56;;;89,6;0,0302
3;;;;;;3;;;4,8;0,0303
55;;;;;;55;;;88;0,0304
56;;;;;;56;;;89,6;0,0305
55;;;;;;55;;;88;0,0306
56;;;;;;56;;;89,6;0,0307
2;;;;;;2;;;3,2;0,0308
56;;;;;;56;;;89,6;0,0309
56;;;;;;56;;;89,6;0,031
56;;;;;;56;;;89,6;0,0311
54;;;;;;54;;;86,4;0,0312
0;;;;;;0;;;0;0,0313
55;;;;;;55;;;88;0,0314
55;;;;;;55;;;88;0,0315
55;;;;;;55;;;88;0,0316
0;;;;;;0;;;0;0,0317
55;;;;;;55;;;88;0,0318
54;;;;;;54;;;86,4;0,0319
55;;;;;;55;;;88;0,032
54;;;;;;54;;;86,4;0,0321
54;;;;;;54;;;86,4;0,0322
56;;;;;;56;;;89,6;0,0323
54;;;;;;54;;;86,4;0,0324
55;;;;;;55;;;88;0,0325
55;;;;;;55;;;88;0,0326
54;;;;;;54;;;86,4;0,0327
55;;;;;;55;;;88;0,0328
54;;;;;;54;;;86,4;0,0329
54;;;;;;54;;;86,4;0,033
54;;;;;;54;;;86,4;0,0331
54;;;;;;54;;;86,4;0,0332
55;;;;;;55;;;88;0,0333
55;;;;;;55;;;88;0,0334
55;;;;;;55;;;88;0,0335
54;;;;;;54;;;86,4;0,0336
55;;;;;;55;;;88;0,0337
55;;;;;;55;;;88;0,0338
55;;;;;;55;;;88;0,0339
54;;;;;;54;;;86,4;0,034
55;;;;;;55;;;88;0,0341
1;;;;;;1;;;1,6;0,0342
55;;;;;;55;;;88;0,0343
55;;;;;;55;;;88;0,0344
55;;;;;;55;;;88;0,0345
55;;;;;;55;;;88;0,0346
55;;;;;;55;;;88;0,0347
55;;;;;;55;;;88;0,0348
55;;;;;;55;;;88;0,0349
54;;;;;;54;;;86,4;0,035
55;;;;;;55;;;88;0,0351
